filename	duration_s	width	height	size_mb
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1523750423.mp4	30.01	1920	1080	27.32
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1139094981.mp4	30.02	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_851523439.mp4	30.01	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_804052287.mp4	30.01	1920	1080	27.38
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_702964103.mp4	30.02	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4250568974.mp4	30.00	1920	1080	27.33
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4110206104.mp4	30.01	1920	1080	27.31
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4069727173.mp4	30.02	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3946807165.mp4	30.01	1920	1080	27.37
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3043422769.mp4	30.02	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2921628677.mp4	30.01	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2917310572.mp4	30.00	1920	1080	27.37
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2847495077.mp4	30.00	1920	1080	27.31
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_27787198.mp4	30.01	1920	1080	27.37
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2175073096.mp4	30.01	1920	1080	27.36
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2090727506.mp4	30.01	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_183563295.mp4	30.00	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1364824559.mp4	30.00	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1352128099.mp4	30.01	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_4275218448.mp4	30.02	1920	1080	27.36
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_4088964246.mp4	30.02	1920	1080	27.38
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_4022484669.mp4	30.02	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_3856802875.mp4	30.01	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_3601799701.mp4	30.00	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_2289970795.mp4	30.02	1920	1080	27.34
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_1948890512.mp4	30.02	1920	1080	27.24
00001_WALKING_3000_MILES_TO_CALI_DAY_40_20_MILES_FROM_INDIANAPOLIS_IN_FAITH_WALK_suppo_1526321513.mp4	30.01	1920	1080	27.34
00001_Walk_with_God_1421713886.mp4	47.22	1920	1080	44.27
00001_W_WALMART_664559686.mp4	43.03	1920	1080	39.30
00001_W_WALMART_3082403491.mp4	60.02	1920	1080	54.75
00001_W_WALMART_2251591762.mp4	30.00	1920	1080	27.40
00001_W_Terrence_685314365.mp4	30.02	1920	1080	27.26
00001_w_team_1740387244.mp4	17.31	1920	1080	15.83
00001_W_Supporters_936322871.mp4	30.02	1920	1080	27.37
00001_w_supporters_726579197.mp4	30.02	1920	1080	27.31
00001_W_supporters_2980641000.mp4	30.00	1920	1080	27.35
00001_W_Support_2703042576.mp4	30.02	1920	1080	27.35
00001_W_Support_1299606463.mp4	30.01	1920	1080	27.34
00001_W_Support_1273955557.mp4	30.02	1920	1080	27.38
00001_TURN_UP_AUNTIE_1119975395.mp4	30.02	1920	1080	27.37
00001_Supporters_3829201693.mp4	30.02	1920	1080	27.34
00001_Supporter_Ron_Davis_Prayer_900734395.mp4	30.00	1920	1080	27.30
00001_STEAK_N_SHAKE_81914399.mp4	26.88	1920	1080	24.96
00001_Shugg-_WWW_IRON_MAN_SIGN_W_SUPPORTER_1030939099.mp4	30.02	1920	1080	27.36
00001_philly_573555530.mp4	30.02	1920	1080	27.32
00001_OOO_935038553.mp4	10.46	1920	1080	9.16
00001_Naptown_praying_with_Zay_4290808023.mp4	30.01	1920	1080	27.35
00001_Men_preaching_2410072231.mp4	30.02	1920	1080	27.35
00001_made_it_2120426827.mp4	30.02	1920	1080	27.36
00001_Kia_praying_for_Zay_250999584.mp4	60.02	1920	1080	54.70
00001_JOHN_RIED_739660713.mp4	60.00	1920	1080	55.60
00001_Indiana_1332171755.mp4	30.02	1920	1080	27.33
00001_Hmblzayy_Has_a_convo_with_man_on_street_602362751.mp4	60.03	1920	1080	54.95
00001_GOD_DID_2001164184.mp4	30.00	1920	1080	27.35
00001_FAITH_WALK_MOTIVATION_3810063997.mp4	28.44	1920	1080	26.44
00001_enjoying_his_journey_4260494207.mp4	30.02	1920	1080	27.33
00001_East_Washington_St_Walmart_W_Josh_and_Ashton_2175502301.mp4	30.01	1920	1080	27.31
00001_Day_40_666727635.mp4	30.02	1920	1080	27.37
00001_dada_200148416.mp4	35.98	1920	1080	32.68
00001_celebrate_3142006112.mp4	30.00	1920	1080	27.40
00001_bital_clip_1658978259.mp4	30.01	1920	1080	27.35
00001_back_at_it_1411299707.mp4	30.00	1920	1080	27.35
00001_amen_1974201859.mp4	30.01	1920	1080	27.37
00001_41_MILES_3830579292.mp4	30.00	1920	1080	27.22
00001_41_miles_210909548.mp4	30.01	1920	1080	27.34
00001_100_rvs_872503975.mp4	35.98	1920	1080	32.75
